,Price,Mileage,Age,Model_Camry,Model_Civic,Model_Corolla
197,28492,27193,2,1,0,0
198,26949,37943,3,0,0,0
199,22995,39673,4,0,1,0
200,22799,35442,2,0,0,1
201,24991,51859,4,0,0,0
202,18989,55993,2,0,0,1
203,22685,58651,3,1,0,0
204,20988,76186,3,1,0,0
205,12991,121035,9,1,0,0
206,19888,76700,4,0,0,0
207,23998,71569,4,1,0,0
208,23987,6377,2,0,0,1
209,20979,73708,5,0,1,0
210,26178,44006,2,0,1,0
211,25998,24283,3,0,1,0
212,15592,127536,6,0,0,0
213,24777,41606,4,0,1,0
214,20777,69802,7,0,0,0
215,25698,42066,4,1,0,0
216,19535,55130,2,0,0,1
217,17999,41053,7,0,1,0
218,20998,51688,5,0,0,0
219,19450,59132,5,0,0,1
220,14888,84001,9,1,0,0
221,25571,23101,3,0,1,0
222,33000,26280,1,0,0,0
223,23500,56822,2,0,1,0
224,21379,57894,2,0,0,1
225,21563,58776,2,0,0,1
226,27974,5502,1,1,0,0
227,20995,5328,1,0,0,1
228,14950,91250,7,0,1,0
229,16988,152236,8,0,0,0
230,29985,3501,0,1,0,0
231,15996,93452,8,0,0,0
232,27874,38247,2,1,0,0
233,28975,16872,1,0,1,0
234,16600,74009,6,0,1,0
235,14998,137763,8,0,0,0
236,16995,108171,5,0,1,0
237,28992,24652,3,0,0,0
238,28290,37034,3,0,0,0
239,27498,42727,3,0,1,0
240,14999,123626,7,0,1,0
241,19021,14574,8,0,0,1
242,14938,71475,9,0,0,1
243,20043,61948,3,0,0,1
244,11999,71487,14,0,0,0
245,30260,7344,0,1,0,0
246,24995,38125,3,0,1,0
247,21249,116759,4,0,0,0
248,24700,83594,4,0,0,0
249,19132,139382,5,0,0,0
250,17000,101877,7,0,1,0
251,29733,7871,1,1,0,0
252,20895,61347,4,0,0,1
253,20408,43510,2,0,0,1
254,17249,119036,6,1,0,0
255,18995,120401,6,0,0,0
256,27978,20368,2,0,1,0
257,22572,50481,4,1,0,0
258,17888,65016,8,0,0,0
259,20703,57082,2,0,0,1
260,29499,8133,2,1,0,0
261,30111,597,0,0,0,1
262,14984,83994,9,0,1,0
263,25750,7658,2,0,0,0
264,19678,50766,2,0,0,1
265,18950,43342,9,1,0,0
266,20998,63301,5,0,1,0
267,28988,6848,2,1,0,0
268,26000,36720,3,0,0,0
269,32674,3016,0,0,1,0
270,7999,156054,15,0,0,0
271,12795,97825,8,0,0,1
272,14950,116431,7,0,1,0
273,12988,133850,9,0,0,0
274,20000,63155,6,0,1,0
275,25999,28071,2,0,1,0
276,29987,1188,0,1,0,0
277,26899,21123,2,0,1,0
278,25000,35047,3,0,1,0
279,12650,111500,9,0,1,0
